Mapping ^nn++++=Mapping
helped ^vbd+++xvbn+=helped
identify ^vb++++=identify
obstacles ^nns++++=obstacles
to ^in++++=to
implementation ^nn++++=implementation
that ^tht+rel+subj++=that
could ^md+pos+++=could
have ^vb+hv+aux++=have
caused ^vprf+++xvbnx+=caused
the ^ati++++=the
project ^nn++++=project
to ^in++++=to
stagnate ^nn+++??+=stagnate
or ^cc++++=or
fail ^vb++++=fail.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
recognizing ^vbg+++xvbg+=recognizing
competing ^jj+atrb++xvbg+=competing
priorities ^nns++++=priorities
within ^in++++=within
the ^ati++++=the
health ^nn++++=health
authority ^nn++++=authority,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
a ^at++++=a
large ^jj+atrb+++=large
digital ^jj+atrb+++=digital
health ^nn++++=health
transformation ^nn++++=transformation,
, ^zz++++=EXTRAWORD
enabled ^j+++xvbn+=enabled
the ^ati++++=the
committee ^nn++++=committee
to ^in++++=to
position ^nn++++=position
the ^ati++++=the
project ^nn++++=project
as ^ql++++=as
a ^at++++=a
successful ^jj+atrb+++=successful
ehealth ^nn+++??+=eHealth
implementation ^nn++++=implementation
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
overall ^jjb+atrb+++=overall
transformation ^nn++++=transformation,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
separate ^jj++++=separate
from ^in++++=from
the ^ati++++=the
larger ^jjr+atrb+++=larger
goal ^nn++++=goal.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
take ^vb++++=take
the ^ati++++=the
standpoint ^nn++++=standpoint
of ^in++++=of
health ^nn++++=health
authority ^nn++++=authority
leaders ^nns++++=leaders
allowed ^vwbn+++xvbn+=allowed
the ^ati++++=the
team ^nn++++=team
to ^to++++=to
build ^vbi++++=build
a ^at++++=a
better ^jjr+atrb+++=better
case ^nn++++=case
for ^in++++=for
the ^ati++++=the
solution ^nn++++=solution,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
it ^pp3+it+++=it
becoming ^vbg+++xvbg+=becoming
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
information ^nn++++=information
management ^nn++++=management
system ^nn++++=system.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Dixon ^np++++=Dixon-Woods
- ^zz++++=EXTRAWORD
woods ^nns++++=EXTRAWORD
and ^cc++++=and
Martin ^np++++=Martin
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
point ^nn++++=point
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
many ^ap++++=many
Qi ^np+++??+=QI
efforts ^nns++++=efforts
are ^vb+ber+aux++=are
abandoned ^vpsv++agls+xvbnx+=abandoned
after ^in++++=after
the ^ati++++=the
pilot ^nn++++=pilot
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
enotification ^nn+++??+=eNotification
underwent ^nn+++??+=underwent
formalized ^nn+++??+=formalized
approvals ^nns+++??+=approvals
and ^cc++++=and
was ^vbd+bedz+vrb++=was
both ^abx++++=both
spread ^nn+++xvbn+=spread
and ^cc++++=and
sustained ^nn+++xvbn+=sustained
by ^in++++=by
the ^ati++++=the
institution ^nn++++=institution.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
pilot ^nn++++=pilot,
, ^zz++++=EXTRAWORD
enotification ^nn+++??+=eNotification
was ^vbd+bedz+aux++=was
implemented ^vpsv++agls+xvbnx+=implemented
across ^in+pl+++=across
the ^ati++++=the
region ^nn++++=region
and ^cc++++=and
within ^in++++=within
two ^cd++++=two
years ^nns++++=years,
, ^zz++++=EXTRAWORD
92 ^cd++++=92
percent ^nnu++++=percent
of ^in++++=of
fps ^np++++=FPs
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
receive ^vb++++=receive
alerts ^nns++++=alerts.
. ^zz++++=EXTRAWORD
