While ^cs+sub+++=While
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^at++++=a
range ^nn++++=range
of ^in++++=of
reflective ^jj+atrb+++=reflective
practices ^nns++++=practices
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
autoethnography ^nn+++??+=autoethnography,
, ^zz++++=EXTRAWORD
phenomenology ^nn+++??+=phenomenology),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
opted ^vbd+++xvbn+=opted
for ^in++++=for
a ^at++++=a
less ^rbr++++=less
formally ^rb++++=formally
structured ^nn+++??+=structured
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
methodology ^nn++++=methodology
is ^vbz+bez+aux++=is
guided ^vpsv++by+xvbnx+=guided
by ^in++++=by
Tracey ^np+++??+=Tracey
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
who ^whp+rel+subj++=who
provides ^vbz+vsua+++=provides
criteria ^nns++++=criteria
for ^in++++=for
ensuring ^xvbg+++xvbg+=ensuring
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
qualitative ^jj+atrb+++=qualitative
research ^nn++++=research,
, ^zz++++=EXTRAWORD
including ^in++++=including
ensuring ^vb+vprv++xvbg+=ensuring
that ^tht+vcmp+++=that
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
worthy ^jj+atrb+++=worthy
topic ^nn++++=topic,
, ^zz++++=EXTRAWORD
insomuch ^nn+++??+=insomuch
as ^ql++++=as
our ^pp$+pp1+++=our
case ^nn++++=case
study ^nn++++=study
can ^md+pos+++=can
provide ^vb+vsua+++=provide
insights ^nns++++=insights
that ^tht+rel+subj++=that
might ^md+pos+++=might
be ^vb+be+vrb++=be
useful ^jj+pred+++=useful
by ^in++++=by
other ^ap++++=other
applied ^jj+atrb++xvbn+=applied
sociologists ^nns++++=sociologists;
; ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
develop ^vb++++=develop
rich ^jj+atrb+++=rich
rigor ^nn++++=rigor,
, ^zz++++=EXTRAWORD
insomuch ^nn+++??+=insomuch
as ^ql++++=as
we ^pp1a+pp1+++=we
draw ^vb++++=draw
an ^at++++=an
appropriate ^jj+atrb+++=appropriate
sample ^nn++++=sample
and ^cc++++=and
analyze ^nn+++??+=analyze
our ^pp$+pp1+++=our
findings ^nns++++=findings
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
organizational ^jj+atrb+++=organizational
embeddedness ^nns+++??+=embeddedness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
exercise ^nn++++=exercise
sincerity ^nn++++=sincerity,
, ^zz++++=EXTRAWORD
insomuch ^nn+++??+=insomuch
as ^ql++++=as
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
self ^nn++++=self-reflexive
- ^zz++++=EXTRAWORD
reflexive ^nn+++??+=EXTRAWORD
about ^in++++=about
our ^pp$+pp1+++=our
own ^ap++++=own
motivations ^nns++++=motivations,
, ^zz++++=EXTRAWORD
biases ^nns+++??+=biases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
positionality ^nn+++??+=positionality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
clear ^jj++++=clear
our ^pp$+pp1+++=our
methodology ^nn++++=methodology,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
