Scholars ^nns++++=Scholars
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
higher ^jjr+atrb+++=higher
education ^nn++++=education
have ^vb+hv+aux++=have
also ^rb++splt++=also
implemented ^vprf+++xvbnx+=implemented
the ^ati++++=the
resilience ^nn++++=resilience
theory ^nn++++=theory,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
a ^at++++=a
high ^jj+atrb+++=high
level ^nn++++=level
of ^in++++=of
resilience ^nn++++=resilience
can ^md+pos+++=can
predict ^vb+vpub+++=predict
students ^nns++++=students
adjustment ^nn++++=adjustment
and ^cc++++=and
adaptation ^nn++++=adaptation
to ^in++++=to
college ^nn++++=college
life ^nn++++=life
( ^zz++++=(
Banyard ^np++++=Banyard
and ^cc++++=and
Cantor ^np+++??+=Cantor
2004 ^cd++++=2004
; ^zz++++=;
Fassig ^np+++??+=Fassig
2004 ^cd++++=2004
) ^zz++++=).
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
student ^nn++++=student
resilience ^nn++++=resilience
and ^cc++++=and
self ^nn++++=self-efficacy
- ^zz++++=EXTRAWORD
efficacy ^nn++++=EXTRAWORD
in ^in++++=in
conjunction ^nn++++=conjunction
with ^in++++=with
their ^pp$+pp3+++=their
social ^jj+atrb+++=social
capital ^nn++++=capital
play ^nn++++=play
a ^at++++=a
critical ^jj+atrb+++=critical
role ^nn++++=role
in ^in++++=in
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
postsecondary ^nn+++??+=postsecondary
students ^nns++++=students
retention ^nn++++=retention
and ^cc++++=and
graduation ^nn++++=graduation
( ^zz++++=(
Avery ^np++++=Avery
and ^cc++++=and
Daly ^np+++??+=Daly
2010 ^cd++++=2010
: ^zz++++=:46).
46 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
resilience ^nn++++=resilience
theory ^nn++++=theory
can ^md+pos+++=can
therefore ^rb+cnj+++=therefore
be ^vb+be+vrb++=be
useful ^jj+pred+++=useful
when ^wrb+who+++=when
exploring ^vbg+++xvbg+=exploring
how ^wrb+who+++=how
postsecondary ^jj+atrb++??+=postsecondary
students ^nns++++=students
already ^rb++++=already
coping ^nvbg+++xvbg+=coping
with ^in++++=with
barriers ^nns++++=barriers
to ^in++++=to
accessing ^jj+atrb++??+=accessing
sufficient ^jj+atrb+++=sufficient
food ^nn++++=food
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
and ^cc++++=and
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
loss ^nn++++=loss
of ^in++++=of
access ^nn++++=access
to ^in++++=to
campus ^nn++++=campus
food ^nn++++=food
pantries ^nns++++=pantries.
. ^zz++++=EXTRAWORD
