As ^in++++=As
the ^ati++++=the
pandemic ^nn++++=pandemic
unfolded ^vbd+++xvbn+=unfolded,
, ^zz++++=EXTRAWORD
the ^ati++++=the
unique ^jj+atrb+++=unique
federalist ^nn+nom+++=federalist
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
American ^jj+atrb+++=American
political ^jj+atrb+++=political
system ^nn++++=system
with ^in++++=with
50 ^cd++++=50
separate ^nn+nom+++=separate
states ^nns++++=states
and ^cc++++=and
additional ^jj+atrb+++=additional
commonwealths ^nns+++??+=commonwealths,
, ^zz++++=EXTRAWORD
municipalities ^nns+nom+++=municipalities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
localities ^nns+nom+++=localities
with ^in++++=with
substantial ^jj+atrb+++=substantial
autonomy ^nn++++=autonomy
began ^vbd+++xvbn+=began
to ^to++++=to
come ^vbi++++=come
to ^in++++=to
the ^ati++++=the
fore ^nn++++=fore
in ^in++++=in
determining ^xvbg+++xvbg+=determining
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
the ^ati++++=the
response ^nn++++=response.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
economic ^jj+atrb+++=economic
shock ^nn++++=shock
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus
was ^vbd+bedz+vrb++=was
exogenously ^jj++++=exogenously
given ^jj+++xvbn+=given,
, ^zz++++=EXTRAWORD
creating ^vbg+++xvbg+=creating
uncertainty ^nn++++=uncertainty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
a ^at++++=a
lockdown ^jj+++xvbn+=lockdown,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
entirely ^rb+amp+++=entirely
endogenously ^jj++++=endogenously
generated ^jj+++xvbn+=generated
and ^cc++++=and
was ^vbd+bedz+vrb++=was
much ^ap++++=much
more ^rbr++++=more
broad ^jj+atrb+++=broad
reaching ^nvbg+++xvbg+=reaching;
; ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
upon ^in++++=upon
the ^ati++++=the
jurisdiction ^nn+nom+++=jurisdiction,
, ^zz++++=EXTRAWORD
included ^jj+atrb++xvbn+=included
blanket ^nn++++=blanket
prohibitions ^nns+nom+++=prohibitions
on ^in++++=on
economic ^jj+atrb+++=economic
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
travel ^vb++++=travel
restrictions ^nns+nom+++=restrictions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
differential ^jj+atrb+++=differential
responses ^nns++++=responses
by ^in++++=by
law ^nn++++=law
enforcement ^nn+nom+++=enforcement
to ^in++++=to
violations ^nns+nom+++=violations
of ^in++++=of
the ^ati++++=the
lockdown ^nn++++=lockdown.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
which ^whp+rel+pied++=which
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
imposed ^vpsv++agls+xvbnx+=imposed
in ^in++++=in
the ^ati++++=the
past ^jjb+atrb+++=past
century ^nn++++=century
( ^zz++++=(if
if ^cs+cnd+++=EXTRAWORD
at ^rb++++=at
all ^abn++++=all),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
also ^rb++++=also
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
satisfy ^vbi++++=satisfy
Hypothesis ^nn++++=Hypothesis
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely
that ^cs+sub+++=that
heuristic ^jj++++=heuristic-driven
- ^zz++++=EXTRAWORD
driven ^xvbn+++xvbn+=EXTRAWORD
policies ^nns++++=policies
are ^vb+ber+vrb++=are
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
extreme ^nn++++=extreme.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
within ^in++++=within
a ^ap++++=a
few ^ap"++++=few
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
apparent ^jj++++=apparent
that ^tht+jcmp+++=that
the ^ati++++=the
jurisdiction ^nn+nom+++=jurisdiction
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
business ^nns+nom+++=business
was ^vbd+bedz+aux++=was
located ^vpsv++agls+xvbn+=located
was ^vbd+bedz+vrb++=was
the ^ati++++=the
prime ^jjb+atrb+++=prime
determinant ^nn+nom+++=determinant
of ^in++++=of
the ^ati++++=the
response ^nn++++=response.
. ^zz++++=EXTRAWORD
