Basic ^jj+atrb+++=Basic
demographics ^nns++++=demographics
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
( ^zz++++=(
N ^zz++++=N
= ^zz++++==
151 ^cd++++=151)
) ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1
. ^zz++++=.
All ^abn++++=All
participants ^nns+nom+++=participants
were ^vbd+bed+vrb++=were
community ^nn+nom+++=community
corrections ^nns+nom+++=corrections
officers ^nns+nom+++=officers
who ^whp+rel+subj++=who
reported ^vbd+vpub++xvbn+=reported
having ^xvbg+++xvbg+=having
handled ^vbd+++xvbn+=handled
criminal ^jj+atrb+++=criminal
caseloads ^nns+++??+=caseloads
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
either ^dtx++++=either
general ^jj+atrb+++=general
criminal ^jj+atrb+++=criminal
cases ^nns++++=cases
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
range ^nn++++=range
of ^in++++=of
both ^abx++++=both
non ^&fw++++=non-violent
- ^zz++++=EXTRAWORD
violent ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
violent ^jj+atrb+++=violent
criminal ^jj+atrb+++=criminal
cases ^nns++++=cases)
) ^zz++++=EXTRAWORD
or ^cc++++=or
caseloads ^nns+++??+=caseloads
that ^tht+rel+++=that
focused ^jj+++xvbn+=focused
on ^in++++=on
specific ^jj+atrb+++=specific
violent ^jj+atrb+++=violent
offenses ^nns+++??+=offenses
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sex ^nn++++=sex
offenses ^nns+++??+=offenses,
, ^zz++++=EXTRAWORD
domestic ^jj+atrb+++=domestic
violence ^nn+nom+++=violence).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
More ^rbr++++=More
detailed ^jj+atrb+++=detailed
demographics ^nns++++=demographics
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
race ^nn++++=race/ethnicity
when ^wrb+who+++=when
officers ^nns+nom+++=officers
chose ^vbd+++xvbn+=chose
to ^to++++=to
identify ^vbi++++=identify,
, ^zz++++=EXTRAWORD
officers ^nns+nom+++=officers
education ^nn+nom+++=education
level ^nn++++=level)
) ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
any ^dti++++=any
bearing ^jj+++xvbg+=bearing
on ^in++++=on
results ^nns++++=results
unless ^cs+cnd+++=unless
noted ^jj+++xvbn+=noted.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
the ^ati++++=the
themes ^nns++++=themes
or ^cc++++=or
model ^nn++++=model
observed ^vbd+++xvbn+=observed
in ^in++++=in
the ^ati++++=the
data ^nns++++=data,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
noted ^jj+++xvbn+=noted,
, ^zz++++=EXTRAWORD
varied ^jj++++=varied
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
collected ^vbd+++xvbn+=collected
demographics ^nns++++=demographics
of ^in++++=of
officers ^nns+nom+++=officers.
. ^zz++++=EXTRAWORD
