There ^ex+pex+++=There
are ^vb+ber+vrb++=are
clear ^jj+pred+++=clear
and ^cc+phrs+++=and
robust ^jj+atrb+++=robust
justifications ^nns+++??+=justifications
for ^in++++=for
the ^ati++++=the
high ^jj+atrb+++=high
priority ^nn++++=priority
given ^vwbn+++xvbn+=given
to ^in++++=to
front ^nn++++=front-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
health ^nn++++=health
workers ^nns++++=workers.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
groups ^nns++++=groups
are ^vb+ber+vrb++=are
more ^ql++++=more
exposed ^jj+++xvbn+=exposed
to ^in++++=to
infection ^nn++++=infection
in ^in++++=in
their ^pp$+pp3+++=their
work ^nn++++=work
environments ^nns++++=environments.
. ^zz++++=EXTRAWORD
Failing ^vbg+++xvbg+=Failing
to ^to+vcmp+++=to
vaccinate ^vb+++??+=vaccinate
them ^pp3o+pp3+++=them
may ^md+pos+++=may
undermine ^vb++++=undermine
health ^nn++++=health
care ^nn++++=care
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
staff ^vb++++=staff
absenteeism ^nn++++=absenteeism
through ^in++++=through
illness ^nn++++=illness
or ^cc++++=or
fear ^nn++++=fear
of ^in++++=of
infection ^nn++++=infection
( ^zz++++=(Tujjar
tujjar ^nn+++??+=EXTRAWORD
& ^zz++++=&
Simonelli ^np+++??+=Simonelli,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^ql++++=As
well ^rb++++=well
as ^cs+sub+++=as
reducing ^vbg+++xvbg+=reducing
Ylls ^np+++??+=YLLs
by ^in++++=by
providing ^xvbg+++xvbg+=providing
services ^nns++++=services
related ^vbd+++xvbn+=related
to ^in++++=to
Covid ^np+++??+=COVID-19(not
- ^zz++++=EXTRAWORD
19(not ^cd++++=EXTRAWORD
least ^ql++++=least
administering ^jj+atrb++xvbg+=administering
vaccines ^nns++++=vaccines),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sustaining ^vbg+++xvbg+=sustaining
health ^nn++++=health
services ^nns++++=services
saves ^nns++++=saves
Ylls ^np+++??+=YLLs
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
other ^ap++++=other
causes ^nns++++=causes.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
strong ^jj+atrb+++=strong
argument ^vb++++=argument
that ^tht+vcmp+obj++=that
the ^ati++++=the
high ^jj+atrb+++=high
priority ^nn++++=priority
given ^vwbn+++xvbn+=given
to ^in++++=to
health ^nn++++=health
workers ^nns++++=workers
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
widely ^rb++++=widely
extended ^jj+++xvbn+=extended
to ^in++++=to
people ^nns++++=people
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
providing ^xvbg+++xvbg+=providing
social ^jj+atrb+++=social
care ^vb++++=care
to ^in+vcmp+++=to
older ^jjr+atrb+++=older
people ^nns++++=people
on ^in++++=on
either ^dtx++++=either
a ^at++++=a
paid ^jj+atrb++xvbn+=paid
or ^cc+phrs+++=or
unpaid ^jj+atrb+++=unpaid
basis ^nn++++=basis
( ^zz++++=(Dunn
dunn ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
) ^zz++++=).
. ^zz++++=EXTRAWORD
