This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
campaign ^nn++++=campaign
in ^in++++=in
which ^whp+rel+pied++=which
its ^pp$+it+++=its
organizers ^nns+nom+++=organizers
set ^vbd+++xvbn+=set
the ^ati++++=the
time ^nn++++=time
frame ^nn++++=frame
to ^to++++=to
two ^cd++++=two
specific ^jj+atrb+++=specific
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
broadcasting ^nn++++=broadcasting
it ^pp3+it+++=it
on ^in++++=on
television ^nn++++=television
and ^cc++++=and
promoting ^vbg+++xvbg+=promoting
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
internet ^nn+++??+=internet
was ^vbd+bedz+vrb++=was
high ^jj+pred+++=high.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
as ^rb++++=as
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
materials ^nns+nom+++=materials
and ^cc++++=and
the ^ati++++=the
video ^nn+++??+=video
clips ^nns++++=clips
remain ^vb++++=remain
on ^in++++=on
the ^ati++++=the
internet ^nn+++??+=internet
and ^cc++++=and
are ^vb+ber+vrb++=are
openly ^rb++++=openly
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
organizers ^nns+nom+++=organizers,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
surveys ^nns++++=surveys
undertaken ^vwbn+++xvbn+=undertaken
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
campaign ^nn++++=campaign,
, ^zz++++=EXTRAWORD
a ^at++++=a
significant ^jj+atrb+++=significant
increase ^nn++++=increase
in ^in++++=in
public ^jj+atrb+++=public
awareness ^nns+nom+++=awareness
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
among ^in++++=among
the ^ati++++=the
public ^nn++++=public
for ^in++++=for
the ^ati++++=the
term ^nn++++=term,
, ^zz++++=EXTRAWORD
age ^nn++++=age
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
perceived ^vpsv++by+xvbnx+=perceived
by ^in++++=by
the ^ati++++=the
public ^jj++++=public
as ^cs+sub+++=as
admired ^jj+++xvbn+=admired
and ^cc+phrs+++=and
important ^jj++++=important.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
organizers ^nns+nom+++=organizers,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
willingness ^nns+nom+++=willingness
of ^in++++=of
employers ^nns+nom+++=employers
and ^cc++++=and
small ^jj+atrb+++=small
businesses ^nns+nom+++=businesses
to ^to++++=to
hire ^vbi++++=hire
people ^nns++++=people
over ^in++++=over
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
60 ^cd++++=60.
. ^zz++++=EXTRAWORD
no ^at++++=No
concrete ^jj+atrb+++=concrete
numbers ^nns+nom+++=numbers
were ^vbd+bed+aux++=were
provided ^vpsv++agls+xvbn+=provided,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however.
. ^zz++++=EXTRAWORD
