Fourth ^rb+cnj+++=Fourth,
, ^zz++++=EXTRAWORD
a ^at++++=a
key ^jjb+atrb+++=key
contribution ^nn+nom+++=contribution
here ^rn+pl+++=here
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
highlight ^nn++++=highlight
the ^ati++++=the
social ^jj+atrb+++=social
components ^nns++++=components
of ^in++++=of
the ^ati++++=the
models ^nns++++=models
typically ^rb++++=typically
used ^md"++pmd"++=used
to ^to++++=to
analyse ^vb++++=analyse
the ^ati++++=the
epidemic ^nn++++=epidemic,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
introduce ^vb++++=introduce
the ^ati++++=the
basic ^jj+atrb+++=basic
structure ^nn++++=structure
of ^in++++=of
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
classified ^vprf+++xvbnx+=classified
as ^ql++++=as
a ^at++++=a
global ^jj+atrb+++=global
social ^jj+atrb+++=social
compartmental ^nn+nom+++=compartmental
model ^nn++++=model.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
basic ^jj+atrb+++=basic
compartmental ^nn+nom+++=compartmental
models ^nns++++=models,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely
the ^ati++++=the
Sird ^np+++??+=SIRD,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
our ^pp$+pp1+++=our
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
approach ^nn++++=approach
can ^md+pos+++=can
be ^vb+be+aux++=be
extended ^vpsv++agls+xvbnx+=extended
into ^in++++=into
other ^ap++++=other
compartmental ^nn+nom+++=compartmental
models ^nns++++=models
that ^tht+rel+subj++=that
include ^vb++++=include
more ^ql++++=more
compartments ^nns+nom+++=compartments
and ^cc++++=and/or
other ^ap++++=other
structures ^nns++++=structures
like ^in++++=like
age ^nn++++=age
cohorts ^nns++++=cohorts
( ^zz++++=(
Prem ^np++++=Prem
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=)
and ^cc++++=and/or
social ^jj+atrb+++=social
groups ^nns++++=groups
( ^zz++++=(
Albi ^np++++=Albi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020a ^cd++++=2020a
, ^zz++++=,
b ^zz++++=b
) ^zz++++=)
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
take ^vb++++=take
into ^in++++=into
account ^nn++++=account
other ^ap++++=other
relevant ^jj+atrb+++=relevant
characteristics ^nns++++=characteristics
of ^in++++=of
an ^at++++=an
epidemic ^nn++++=epidemic
and ^cc++++=and
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to
also ^rb++splt++=also
analyse ^vbi++++=analyse
in ^in++++=in
detail ^nn++++=detail
within ^in++++=within
country ^nn++++=country
and ^cc++++=and
other ^ap++++=other
intra ^rb++++=intra-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
inequalities ^nns+nom+++=inequalities.
. ^zz++++=EXTRAWORD
