Beyond ^in++++=Beyond
the ^ati++++=the
methodological ^jj+atrb+++=methodological
questions ^nns+nom+++=questions
around ^in++++=around
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
was ^vbd+bedz+aux++=was
sometimes ^rb++splt++=sometimes
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
having ^xvbg+++xvbg+=having
been ^vprf+ben+vrb+xvbn+=been
an ^at++++=an
afterthought ^nn++++=afterthought
, ^zz++++=,
as ^ql++++=as
an ^at++++=an
area ^nn++++=area
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
that ^tht+rel+subj++=that
could ^md+pos+++=could
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
improved ^vpsv++agls+xvbnx+=improved,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
as ^in++++=as
something ^pn++++=something
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done
as ^ql++++=as
a ^at++++=a
box ^nn++++=box
ticking ^vwbg+++xvbg+=ticking
exercise ^nn++++=exercise".
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
noted ^vprf+++xvbnx+=noted
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
the ^ati++++=the
relative ^jj+atrb+++=relative
importance ^nn+nom+++=importance
of ^in++++=of
the ^ati++++=the
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
data ^nns++++=data
compared ^vbd+++xvbn+=compared
with ^in++++=with
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
data ^nns++++=data
was ^vbd+bedz+vrb++=was
central ^jj+pred+++=central
to ^in++++=to
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
participants ^nns+nom+++=participants
described ^vbd+++xvbn+=described
how ^wrb+who+++=how
an ^at++++=an
epistemological ^jj+atrb+++=epistemological
hierarchy ^nn++++=hierarchy
of ^in++++=of
importance ^nn+nom+++=importance
underpinned ^vbd+++xvbn+=underpinned
the ^ati++++=the
Rct ^np+++??+=RCT,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
findings ^nns++++=findings
taking ^vwbg+++xvbg+=taking
precedence ^nn+nom+++=precedence
and ^cc++++=and
being ^xvbg+++xvbg+=being
prioritized ^vbd+++xvbn+=prioritized
as ^in++++=as
" ^zz++++="evidence",
evidence ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
the ^ati++++=the
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
offered ^vbd+++xvbn+=offered
explanations ^nns+nom+++=explanations
for ^in++++=for
the ^ati++++=the
outcome ^nn++++=outcome.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
participant ^nn+nom+++=participant
described ^vbd+++xvbn+=described
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
