Participants ^nns+nom+++=Participants
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
involved ^vpsv++agls+xvbnx+=involved
in ^in++++=in
conducting ^xvbg+++xvbg+=conducting
interventions ^nns+nom+++=interventions
in ^in++++=in
23 ^cd++++=23
different ^jj+atrb+++=different
countries ^nns++++=countries
( ^zz++++=(7
7 ^zz++++=EXTRAWORD
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
and ^cc++++=and
16 ^cd++++=16
lowand ^nn+++??+=lowand
middle ^jjb++++=middle-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
for ^in++++=for
more ^rbr++++=more
precise ^jj+atrb+++=precise
breakdown ^nn++++=breakdown).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Multiple ^jj+atrb+++=Multiple
interventions ^nns+nom+++=interventions
were ^vbd+bed+aux++=were
covered ^vpsv++agls+xvbnx+=covered
including ^in++++=including
Problem ^nn++++=Problem
Management ^nn+nom+++=Management
Plus ^in+strn+++=Plus,
, ^zz++++=EXTRAWORD
Common ^jj+atrb+++=Common
Elements ^nns+nom+++=Elements
Treatment ^nn+nom+++=Treatment
Approach ^nn++++=Approach,
, ^zz++++=EXTRAWORD
Self ^nn++++=Self-Help
- ^zz++++=EXTRAWORD
help ^vb++++=EXTRAWORD
Plus ^in+strn+++=Plus,
, ^zz++++=EXTRAWORD
Step ^nn++++=Step-by-Step,
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Community ^nn+nom+++=Community-Based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
Sociotherapy ^np+++??+=Sociotherapy,
, ^zz++++=EXTRAWORD
Narrative ^nn++++=Narrative
Exposure ^nn++++=Exposure
Therapy ^nn++++=Therapy,
, ^zz++++=EXTRAWORD
Interpersonal ^np+nom++??+=Interpersonal
Therapy ^nn++++=Therapy,
, ^zz++++=EXTRAWORD
Early ^jj+atrb+++=Early
Adolescent ^jj+atrb+++=Adolescent
Skills ^nns++++=Skills
for ^in++++=for
Emotions ^nns+nom+++=Emotions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Integrative ^np+++??+=Integrative
Adaptive ^np+++??+=Adaptive
Therapy ^nn++++=Therapy,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
Table ^nn++++=Table
1 ^zz++++=1
for ^in++++=for
additional ^jj+atrb+++=additional
demographic ^jj+atrb+++=demographic
information ^nn+nom+++=information
on ^in++++=on
the ^ati++++=the
study ^nn++++=study
participants ^nns+nom+++=participants.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
descriptive ^jj+atrb+++=descriptive
information ^nn+nom+++=information
concerning ^in++++=concerning
the ^ati++++=the
methods ^nns++++=methods
used ^vwbn+++xvbn+=used
and ^cc++++=and
implementation ^nn+nom+++=implementation
outcomes ^vbz+++??+=outcomes
assessed ^vbd+++xvbn+=assessed
as ^ql++++=as
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
process ^nns+nom+++=process
evaluations ^nns+nom+++=evaluations
discussed ^vwbn+++xvbn+=discussed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
are ^vb+ber+aux++=are
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
Appendix ^nn++++=Appendix
3 ^zz++++=3
. ^zz++++=.
Table ^nn++++=Table
1 ^zz++++=1
. ^zz++++=.
Demographic ^np+++??+=Demographic
information ^nn+nom+++=information
on ^in++++=on
participants ^nns+nom+++=participants.
. ^zz++++=EXTRAWORD
Construct ^vb++++=Construct
Percentage ^nn+nom+++=Percentage
or ^cc++++=or
mean ^jj+atrb+++=mean
Gender ^nn++++=Gender
Male ^nn++++=Male
45 ^cd++++=45%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
11 ^cd++++=11)
) ^zz++++=EXTRAWORD
Female ^nn++++=Female
55 ^cd++++=55%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
13 ^cd++++=13)
) ^zz++++=EXTRAWORD
Age ^nn++++=Age
40.12 ^cd++++=40.12
( ^zz++++=(
Sd ^np++++=SD
= ^zz++++==
9.05 ^cd++++=9.05),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
range ^nn++++=range
= ^zz++++==
21 ^cd++++=21-61
- ^zz++++=EXTRAWORD
61 ^cd++++=EXTRAWORD
Country ^nn++++=Country
of ^in++++=of
residence ^nn+nom+++=residence
( ^zz++++=(at
at ^in++++=EXTRAWORD
time ^nn++++=time
of ^in++++=of
trial ^nn++++=trial)
) ^zz++++=EXTRAWORD
Hic ^np+++??+=HIC
55 ^cd++++=55%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
13 ^cd++++=13)
) ^zz++++=EXTRAWORD
Lmic ^np+++??+=LMIC
45 ^cd++++=45%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
11 ^cd++++=11)
) ^zz++++=EXTRAWORD
Position ^nn+nom+++=Position
within ^in++++=within
the ^ati++++=the
Rct ^np+++??+=RCT
Principal ^jjb+atrb+++=Principal
investigator ^nn++++=investigator
38 ^cd++++=38%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
9 ^zz++++=9)
) ^zz++++=EXTRAWORD
Project ^nn++++=Project
coordinator ^nn++++=coordinator
17 ^cd++++=17%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
Co ^nn++++=Co-investigator
- ^zz++++=EXTRAWORD
investigator ^nn++++=EXTRAWORD
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
Phd ^np+++??+=PhD
student ^nn++++=student
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
Postdoc ^np+++??+=Postdoc/Research
associate ^nn+nom+++=associate
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
Research ^nn++++=Research
assistant ^nn+nom+++=assistant
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
Intervention ^nn+nom+++=Intervention
expert ^nn++++=expert/trainer
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
Home ^nr++++=Home
discipline ^nn++++=discipline
a ^at++++=a
Psychology ^nn++++=Psychology
or ^cc++++=or
psychiatry ^nn++++=psychiatry
63 ^cd++++=63%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
15 ^cd++++=15)
) ^zz++++=EXTRAWORD
Public ^jj+atrb+++=Public
health ^nn++++=health
or ^cc++++=or
epidemiology ^nn+++??+=epidemiology
33 ^cd++++=33%
% ^zz++++=EXTRAWORD
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
8 ^zz++++=8)
) ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
