Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
patterns ^nns++++=patterns
that ^tht+rel+subj++=that
emerged ^vprf+++xvbn+=emerged
from ^in++++=from
Ca ^np++++=CA
helped ^vbd+++xvbn+=helped
guide ^vb++++=guide
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
the ^ati++++=the
Da ^np+++??+=DA.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
conducted ^vbd+++xvbnx+=conducted
a ^at++++=a
close ^nn++++=close
reading ^vwbg+++xvbg+=reading
discourse ^nn++++=discourse
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
particular ^jj+atrb+++=particular
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
amendments ^nns+nom+++=amendments
of ^in++++=of
chaptered ^jj+atrb++xvbn+=chaptered
statutes ^nns++++=statutes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
specifically ^rb++++=specifically
look ^vb++++=look
at ^rb++++=at
instances ^nns+nom+++=instances
in ^in++++=in
which ^whp+rel+pied++=which
only ^rb+down+++=only
the ^ati++++=the
modal ^jj+atrb+++=modal
verbs ^nns++++=verbs
were ^vbd+bed+aux++=were
changed ^vpsv++agls+xvbnx+=changed
while ^cs+sub+++=while
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
clause ^nn++++=clause
remained ^vbd+++xvbn+=remained
constant ^jj++++=constant.
. ^zz++++=EXTRAWORD
By ^in++++=By
interpreting ^xvbg+++xvbg+=interpreting
and ^cc++++=and
explaining ^xvbg+++xvbg+=explaining
the ^ati++++=the
motivations ^nns+nom+++=motivations
behind ^in+pl+++=behind
choosing ^xvbg+++xvbg+=choosing
and ^cc++++=and
changing ^xvbg+++xvbg+=changing
certain ^jj+atrb+++=certain
modals ^nn++++=modals
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
severity ^nn+nom+++=severity
of ^in++++=of
the ^ati++++=the
crisis ^nn++++=crisis
at ^in++++=at
the ^ati++++=the
local ^jj+atrb+++=local
level ^nn++++=level,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
illustrate ^nn+nom+++=illustrate
modals ^nn++++=modals
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to:
: ^zz++++=EXTRAWORD
( ^zz++++=(i)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
reflect ^vb+vprv+++=reflect
the ^ati++++=the
gravity ^nn+nom+++=gravity
of ^in++++=of
local ^jj+atrb+++=local
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(ii)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
either ^dtx++++=either
highlight ^nn++++=highlight
or ^cc++++=or
deemphasize ^vb++++=deemphasize
a ^at++++=a
policy ^nn++++=policy's
's ^vbz+bez+vrb++0=EXTRAWORD
suggestive ^jj++++=suggestive
intent ^jj++++=intent
( ^zz++++=(
section ^nn+nom+++=Section
6 ^zz++++=6
) ^zz++++=).
. ^zz++++=EXTRAWORD
