33 ^cd++++=33)
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
a ^at++++=a
waiting ^jj+atrb++xvbg+=waiting
list ^nn++++=list
for ^in++++=for
reconstruction ^nn+nom+++=reconstruction
for ^in++++=for
6 ^zz++++=6
months ^nns++++=months
and ^cc++++=and
have ^vb+hv+aux++=have
now ^rn+tm+splt++=now
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++tht0+xvbnx+=told
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+vrb++=be
another ^dt++++=another
6 ^zz++++=6
months ^nns++++=months
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
get ^vb++++=get
my ^pp$+pp1+++=my
surgery ^nn+nom+++=surgery,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
does ^vbz+doz+aux++=does
not ^xnot++not++=not
help ^vb++++=help
my ^pp$+pp1+++=my
mental ^jj+atrb+++=mental
state ^nn++++=state
as ^ql++++=as
its ^pp$+it+++=its
so ^ql++++=so
much ^ap++++=much
harder ^jjr++++=harder
to ^in++++=to
try ^nn++++=try
and ^cc++++=and
move ^vb++++=move
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
